program_name,player_name,class,bats,throws,position_raw,position_buckets
Northeast Texas Community College,BJ Lumkins,SO,,,OF,Outfield
Northeast Texas Community College,Barrett Hamilton,FR,,R,RHP,
Northeast Texas Community College,Boston Seahorn,SO,,,IF,Infield
Northeast Texas Community College,Brady Smedshammer,FR,,L,LHP,
Northeast Texas Community College,Bryson Bentley,SO,,L,LHP/OF,Outfield
Northeast Texas Community College,Caedon Alexander,FR,,R,RHP,
Northeast Texas Community College,Cameron Reiter,FR,,,IF,Infield
Northeast Texas Community College,Carson Umphres,FR,,,OF,Outfield
Northeast Texas Community College,Chris Whitaker,FR,,R,RHP,
Northeast Texas Community College,Cooper Schwank,SO,,R,RHP,
Northeast Texas Community College,Cooper Zeiders,FR,,,IF,Infield
Northeast Texas Community College,David Sorg,SO,,,1B,Infield|Corner Infield
Northeast Texas Community College,Drew Flores,FR,,R,RHP/C,Catcher
Northeast Texas Community College,Jace Garber,FR,,R,RHP,
Northeast Texas Community College,Jack Ortego,FR,,,C,Catcher
Northeast Texas Community College,Jake Farris,SO,,,OF,Outfield
Northeast Texas Community College,Jake Pempsell,FR,,R,RHP,
Northeast Texas Community College,Jax Prewitt,FR,,R,RHP,
Northeast Texas Community College,Jonathon Kent,SO,,,IF,Infield
Northeast Texas Community College,Josh Staten,SO,,,OF,Outfield
Northeast Texas Community College,Kaleb Kuhn,SO,,L,LHP,
Northeast Texas Community College,Kaleb Steiger,FR,,,IF,Infield
Northeast Texas Community College,Kyler Miritello,SO,,R,RHP,
Northeast Texas Community College,Lane Cole,FR,,R,RHP,
Northeast Texas Community College,Luke Nohinek,SO,,,C,Catcher
Northeast Texas Community College,Mason Pate,FR,,,OF,Outfield
Northeast Texas Community College,Nathaniel Chambers,FR,,R,RHP,
Northeast Texas Community College,Sam Durard,FR,,R,RHP,
Northeast Texas Community College,Tanner Webb,FR,,R,RHP,
Odessa College,Alejandro Rivera,SO,,,OF,Outfield
Odessa College,Andres Cordero,FR,,,OF,Outfield
Odessa College,April,,,,,
Odessa College,Bach Hartwig,FR,,,INF,Infield
Odessa College,Camden Babcock,SO,,,INF,Infield
Odessa College,Connor Rabe,SO,,,C,Catcher
Odessa College,Donovan Arroyo,FR,,,IF,Infield
Odessa College,Eduardo Lopez,SO,,,INF,Infield
Odessa College,Evan Mann,FR,,,INF,Infield
Odessa College,February,,,,,
Odessa College,Griffin Williams,SO,,,INF,Infield
Odessa College,Jacob Delgadillo,FR,,,C,Catcher
Odessa College,John Byler,FR,,,INF,Infield
Odessa College,John Clark,FR,,,INF,Infield
Odessa College,Julian Moya,SO,,R,INF/RHP,Infield
Odessa College,Korey Alston,FR,,R,RHP/OF,Outfield
Odessa College,Losses,,,,,
Odessa College,Luke Holley,FR,,,UTL,
Odessa College,March,,,,,
Odessa College,Mateo Garcia,FR,,,INF,Infield
Odessa College,May,,,,,
Odessa College,Nathaniel Mendoza,SO,,,IF,Infield
Odessa College,Patrick Zaino,FR,,,OF,Outfield
Odessa College,Paxton Samuelson,SO,,,OF,Outfield
Odessa College,Rycichiro Uno,FR,,,UTL,
Odessa College,Trey Jeanes,SO,,,INF,Infield
Odessa College,Wesley Shackleford,FR,,R,RHP,
Odessa College,Wins,,,,,
Panola College,Adin Ruiz,SO,,R,RHP,
Panola College,Ashton Bennight,SO,,,OF,Outfield
Panola College,Austin Hardy,SO,,,INF,Infield
Panola College,Brandon Gonzalez,SO,,R,INF/RHP,Infield
Panola College,Brian Schumacher,FR,,,OF,Outfield
Panola College,Brock Grainger,SO,,,C/INF,Infield|Catcher
Panola College,Brody Slaten,SO,,R,RHP,
Panola College,Bryce Payne,FR,,R,RHP,
Panola College,Caden Wellmann,SO,,,UTL,
Panola College,Cameron Turner,FR,,,INF,Infield
Panola College,Carson Rea,SO,,R,RHP,
Panola College,Chris Guzaldo,SO,,,INF,Infield
Panola College,Derek DeVos,SO,,R,RHP,
Panola College,Donnie Edgar,SO,,R,RHP,
Panola College,Felix Gosselin,FR,,,INF,Infield
Panola College,Hudson Boring,FR,,R,RHP,
Panola College,Jackson Glymph,SO,,,OF,Outfield
Panola College,Jose Torrens,SO,,,OF,Outfield
Panola College,Just Van den Ouweelen,SO,,R,RHP,
Panola College,Justin Anctil,SO,,,C,Catcher
Panola College,Kade Crawford,SO,,,OF,Outfield
Panola College,Logan Garren,FR,,R,RHP,
Panola College,Luke Paxton,SO,,,OF,Outfield
Panola College,Matthew Novominsky,SO,,,OF,Outfield
Panola College,Mitchell Heinrich,SO,,R,RHP,
Panola College,Nolan Cruz,FR,,R,RHP,
Panola College,Preston Lynch,FR,,,C,Catcher
Panola College,Preston Tocheniuk,FR,,R,RHP,
Panola College,Richard Shaw,FR,,L,LHP,
Panola College,Tristan Raley,FR,,,INF,Infield
Paris Junior College,Austin Marlin,SO,,,OF/1B,Outfield|Infield|Corner Infield
Paris Junior College,Bankston Lembcke,SO,,,INF,Infield
Paris Junior College,Brock McKown,SO,,,P,
Paris Junior College,Bryce Tapley,FR,,,OF,Outfield
Paris Junior College,Caiden White,FR,,,P,
Paris Junior College,Dalton Dick,SO,,,OF,Outfield
Paris Junior College,Diego Gonzalez,SO,,,C,Catcher
Paris Junior College,Erick Thompson,SO,,,INF,Infield
Paris Junior College,Ethan Espiricueta,FR,,,INF,Infield
Paris Junior College,Grant Moore,SO,,,OF,Outfield
Paris Junior College,Jackson Thomas,FR,,,P,
Paris Junior College,Javier Rodriguez,SO,,,INF,Infield
Paris Junior College,Jonnie Gifford,FR,,,C/1B,Infield|Corner Infield|Catcher
Paris Junior College,Jordan Coronado,SO,,,UT/P,
Paris Junior College,Logan Mitchell,FR,,,P,
Paris Junior College,Luke Kemp,FR,,,OF,Outfield
Paris Junior College,Michael Clarkson,FR,,,C/1B,Infield|Corner Infield|Catcher
Paris Junior College,Michael Sanchez,FR,,,P,
Paris Junior College,Nadav Machlin,FR,,,INF,Infield
Paris Junior College,Nick Bowman,SO,,,P,
Paris Junior College,Noah David,SO,,,P,
Paris Junior College,Riley Wood,FR,,,1B/P,Infield|Corner Infield
Paris Junior College,Ryder Caloway,FR,,,P,
Paris Junior College,Shiloh Callaway,FR,,,P,
Paris Junior College,Topher McDaniel,SO,,,P,
Paris Junior College,Wes Johnston,SO,,,P,
Paris Junior College,Zack Henderson,SO,,,OF,Outfield
Ranger College,Adriano Fernandez,FR,,,IF,Infield
Ranger College,Alberto Sanchez,FR,,,IF,Infield
Ranger College,Andrew Weckel,SO,,,IF,Infield
Ranger College,April,,,,,
Ranger College,Ashton Fisher,SO,,,IF,Infield
Ranger College,Brandon Leon,FR,,,UTL,
Ranger College,Brice Smith,SO,,,1B/OF,Outfield|Infield|Corner Infield
Ranger College,Caleb Lopez,FR,,,C,Catcher
Ranger College,Colby Clinkscales,FR,,,UTL,
Ranger College,Cooper Haygood,FR,,R,RHP/INF,Infield
Ranger College,February,,,,,
Ranger College,Grant Cerveny,FR,,,OF,Outfield
Ranger College,Hunter Taylor,FR,,,C,Catcher
Ranger College,Jackson Hopper,FR,,,IF,Infield
Ranger College,January,,,,,
Ranger College,Jeremiah Torres,SO,,,IF,Infield
Ranger College,Joey Rodriguez,SO,,,C,Catcher
Ranger College,Jordan Enyart,FR,,,IF,Infield
Ranger College,Kaden Jammer,FR,,R,RHP/IF,Infield
Ranger College,Lawson Mooney,FR,,,OF,Outfield
Ranger College,Losses,,,,,
Ranger College,March,,,,,
Ranger College,Reid Richard,SO,,,OF,Outfield
Ranger College,Riley Akins,FR,,,C,Catcher
Ranger College,Samuel Kelley,SO,,,OF,Outfield
Ranger College,Sean Gardiner,SO,,,UTL,
Ranger College,Will Moffit,FR,,,OF,Outfield
Ranger College,Wins,,,,,
Salt Lake Community College,"Banks, Hudson",,,,,
Salt Lake Community College,"Beames, Case",,,,,
Salt Lake Community College,"Brown, Riley",,,,,
Salt Lake Community College,"Chambers, Colby",,,,,
Salt Lake Community College,"Chavez, Lute",,,,,
Salt Lake Community College,"Comer, Easton",,,,,
Salt Lake Community College,"Daniels, Grady",,,,,
Salt Lake Community College,"Dart, Will",,,,,
Salt Lake Community College,"Davies, Easton",,,,,
Salt Lake Community College,"Davis, Tyler",,,,,
Salt Lake Community College,"Drachman, Connor",,,,,
Salt Lake Community College,"Ellison, Dalyn",,,,,
Salt Lake Community College,"Fenn, Zaylun",,,,,
Salt Lake Community College,"Gambill, Kade",,,,,
Salt Lake Community College,"Green, Mason",,,,,
Salt Lake Community College,"Hodson, Kaden",,,,,
Salt Lake Community College,"Iacono, Ethan",,,,,
Salt Lake Community College,"Jacobs, Boston",,,,,
Salt Lake Community College,"Jenkins, Heber",,,,,
Salt Lake Community College,"Laycock, Austin",,,,,
Salt Lake Community College,"Martin, Greyson",,,,,
Salt Lake Community College,"Moody, Carson",,,,,
Salt Lake Community College,"Mousser, Max",,,,,
Salt Lake Community College,"Nielsen, Cal",,,,,
Salt Lake Community College,"Olson, Brayden",,,,,
Salt Lake Community College,"Reynolds, Ryan",,,,,
Salt Lake Community College,"Roberts, Willy",,,,,
Salt Lake Community College,"Robinson, Casey",,,,,
Salt Lake Community College,"Roos, Colin",,,,,
Salt Lake Community College,"Schwaiger, Ty",,,,,
Salt Lake Community College,"Smith, Drew",,,,,
Salt Lake Community College,"Tebbs, Kaleb",,,,,
Salt Lake Community College,"Thomas, AJ",,,,,
Salt Lake Community College,"Tillitt, Nolan",,,,,
Salt Lake Community College,"Vernon, Alex",,,,,
Salt Lake Community College,"Walkenhorst, Tanner",,,,,
Salt Lake Community College,"Wareham, Gage",,,,,
Salt Lake Community College,"Wayman, Ethan",,,,,
Salt Lake Community College,"West, Tyler",,,,,
Salt Lake Community College,"Young, Thomas",,,,,
Salt Lake Community College,"Zullo, Dylan",,,,,
San Jacinto College-North,0 0,,,,,
San Jacinto College-North,26 26,,,,,
San Jacinto College-North,"Alsobrooks, Christopher",,,,,
San Jacinto College-North,"Ambrose, Jackson",,,,,
San Jacinto College-North,"Anzaldua, Matai",,,,,
San Jacinto College-North,"Belle, Nathan",,,,,
San Jacinto College-North,"Bevington, Ryan",,,,,
San Jacinto College-North,"Cercello, Dan",,,,,
San Jacinto College-North,"Chavez, Keegan",,,,,
San Jacinto College-North,"Crain, Hunter",,,,,
San Jacinto College-North,"De Los Santos, Christian",,,,,
San Jacinto College-North,"Dobbs, Kade",,,,,
San Jacinto College-North,"Dorantes, Manny",,,,,
San Jacinto College-North,"Espinosa, Manny",,,,,
San Jacinto College-North,"Flores, Trenton",,,,,
San Jacinto College-North,"Fonte, Andrew",,,,,
San Jacinto College-North,"Fronduto, Danati",,,,,
San Jacinto College-North,"Furcal, RJ",,,,,
San Jacinto College-North,"Garcia, Javier",,,,,
San Jacinto College-North,"Garza, Jorge",,,,,
San Jacinto College-North,"Hill, Caleb",,,,,
San Jacinto College-North,"Johnson, Kade",,,,,
San Jacinto College-North,"Keo, Maddox",,,,,
San Jacinto College-North,"Lewis, Patrick",,,,,
San Jacinto College-North,"Marek, Jack",,,,,
San Jacinto College-North,"Matthews, Parker",,,,,
San Jacinto College-North,"McIntyre, Dylan",,,,,
San Jacinto College-North,"O'Daniel, Jakob",,,,,
San Jacinto College-North,"Olivares, RJ",,,,,
San Jacinto College-North,"Pagan, Rayvin",,,,,
San Jacinto College-North,"Palacios, Cody",,,,,
San Jacinto College-North,"Peshke, Ashton",,,,,
San Jacinto College-North,"Ramos, Andrew",,,,,
San Jacinto College-North,"Rudder, Lance",,,,,
San Jacinto College-North,"Sanchez, Aiden",,,,,
San Jacinto College-North,"Seoane, Ezekiel",,,,,
San Jacinto College-North,"Stottlemyre, TJ",,,,,
San Jacinto College-North,"Tarkington, Trey",,,,,
Seminole State College (OK),BENNETT CRAFTON,SO,,,,
Seminole State College (OK),BRAYDEN HARPOLE,SO,,,,
Seminole State College (OK),BROCK NATALE,FR,,,,
Seminole State College (OK),CAMPBELL MARTIN,FR,,,,
Seminole State College (OK),CARTER STERLING,SO,,,,
Seminole State College (OK),COBY MCBRIDE,FR,,,OF,Outfield
Seminole State College (OK),COHL MCCOY,SO,,,,
Seminole State College (OK),DYLAN RESTINE,FR,,,C,Catcher
Seminole State College (OK),ELI MCCALL,FR,,,,
Seminole State College (OK),GAVIN WILLIAMS,SO,,,C,Catcher
Seminole State College (OK),GUILLERMO CASTANEDA,SO,,,,
Seminole State College (OK),HECTOR ROCA,SO,,,,
Seminole State College (OK),HUTCH RUSSELL,SO,,,,
Seminole State College (OK),JACKSON LUNDQUIST,SO,,,,
Seminole State College (OK),JACKSON PICKELSIMER,SO,,,,
Seminole State College (OK),JACKSON ROBNETT,FR,,,,
Seminole State College (OK),JARED VEGA,FR,,,,
Seminole State College (OK),JARRET HALTER,FR,,,,
Seminole State College (OK),JAYLON HUMBLES,SO,,,,
Seminole State College (OK),JOSEPH FRAZIER,FR,,,OF,Outfield
Seminole State College (OK),KENDRIC MOLINA,FR,,,,
Seminole State College (OK),RAY KUHLMAN,FR,,,,
Seminole State College (OK),TAGEN SIMON,SO,,,C,Catcher
Seminole State College (OK),WILL LUNDQUIST,FR,,,,
Seminole State College (OK),WT JONES,SO,,,,
Temple College,April,,,,,
Temple College,Brody Cole,FR,,,IF,Infield
Temple College,Bryton Bertrand,FR,,,OF,Outfield
Temple College,Cameron Bartz,FR,,,OF,Outfield
Temple College,Chase Fricke,FR,,,UTL/P,
Temple College,"Davin ""Peanut"" Brazzle",SO,,,OF,Outfield
Temple College,Easton Rinewalt,FR,,,IF,Infield
Temple College,Elias Leon-Padilla,FR,,,C,Catcher
Temple College,Enrique Perozo,SO,,,C,Catcher
Temple College,February,,,,,
Temple College,Hunter Baros,SO,,,IF,Infield
Temple College,January,,,,,
Temple College,Kade Davis,SO,,,P/OF,Outfield
Temple College,Kanyon Millar,FR,,,IF,Infield
Temple College,Kash Millar,SO,,,IF,Infield
Temple College,Landon Miller,SO,,,P,
Temple College,"Lisandro ""Ricky"" Montijo",FR,,,C/UTL,Catcher
Temple College,Losses,,,,,
Temple College,March,,,,,
Temple College,May,,,,,
Temple College,Ryan Hunter,FR,,,C/UTL,Catcher
Temple College,Sage Sanders,SO,,,IF,Infield
Temple College,Trajan Godbee,FR,,,IF,Infield
Temple College,Wade Stallones,FR,,,OF,Outfield
Temple College,Wins,,,,,
Temple College,Yarel Delgado,FR,,,OF,Outfield
Vernon College,April,,,,,
Vernon College,Benito Bonilla,SO,,,,
Vernon College,Brady Shelton,FR,,,,
Vernon College,Brandon Paez,FR,,,,
Vernon College,Evan Dugdale,FR,,,,
Vernon College,February,,,,,
Vernon College,Irvin Leonard,SO,,,,
Vernon College,Jack LaRose,FR,,,,
Vernon College,Jacob Wehba,FR,,,,
Vernon College,Jayden Lusk,FR,,,,
Vernon College,Jorge Olivera-Gutierrez,SO,,,,
Vernon College,Josnel Ortiz,FR,,,,
Vernon College,Losses,,,,,
Vernon College,March,,,,,
Vernon College,May,,,,,
Vernon College,Michael Russell,SO,,,,
Vernon College,Rex Rambo,FR,,,,
Vernon College,Wins,,,,,
Wabash Valley College,Andrew Dixon,FR,,,,
Wabash Valley College,Argenis Lopez,SO,,,1B,Infield|Corner Infield
Wabash Valley College,Brady Atwell,FR,,,C,Catcher
Wabash Valley College,Brady Schallmoser,FR,,,,
Wabash Valley College,Bryce Adams,FR,,,,
Wabash Valley College,Cameron Dube,FR,,,,
Wabash Valley College,Colin McNeer,FR,,,IF,Infield
Wabash Valley College,Connor Christenson,RS SO,,,IF,Infield
Wabash Valley College,Dean Staudacher,FR,,,,
Wabash Valley College,Drake DeFreitas,SO,,R,RHP/IF,Infield
Wabash Valley College,Enrico Veach,SO,,,IF,Infield
Wabash Valley College,Gavin Hoel,FR,,,,
Wabash Valley College,Julez Pratt,FR,,,,
Wabash Valley College,Konner Brown,SO,,,IF,Infield
Wabash Valley College,Leandro Hernandez,FR,,,,
Wabash Valley College,Logan Marsell,SO,,,OF,Outfield
Wabash Valley College,Martin Ledbetter,FR,,,,
Wabash Valley College,Matthew Simmons,FR,,,,
Wabash Valley College,Owen Cornett,RS SO,,,1B,Infield|Corner Infield
Wabash Valley College,Preston Barr,SO,,R,RHP,
Wabash Valley College,Reece Harbison,FR,,,,
Wabash Valley College,Tyler Peller,FR,,,,
Weatherford College,Austin Godwin,SO,,,IF,Infield
Weatherford College,Blake Martinez,SO,,,OF,Outfield
Weatherford College,Brittain Urbaniak,FR,,,1B,Infield|Corner Infield
Weatherford College,Caden Mitchell,SO,,,C,Catcher
Weatherford College,Cayden Byrd,SO,,,OF,Outfield
Weatherford College,Garrett Schroeder,SO,,,OF,Outfield
Weatherford College,Jackson Irons,FR,,,1B,Infield|Corner Infield
Weatherford College,Jake Overstreet,SO,,,C,Catcher
Weatherford College,Joseph Sandusky,FR,,,IF,Infield
Weatherford College,Kaden Robardey,FR,,,OF,Outfield
Weatherford College,Kyzer Harrington,SO,,,IF,Infield
Weatherford College,Levi Martinez,FR,,,C,Catcher
Weatherford College,RJ Machado,FR,,,IF,Infield
Weatherford College,Spencer Butt,SO,,,IF,Infield
Weatherford College,Tanner Sever,SO,,,IF,Infield
Weatherford College,Ty Waid,SO,,R,UT/RHP,
Weatherford College,Walt Jones,FR,,,IF,Infield
Western Texas College,April,,,,,
Western Texas College,February,,,,,
Western Texas College,January,,,,,
Western Texas College,Losses,,,,,
Western Texas College,March,,,,,
Western Texas College,May,,,,,
Western Texas College,Wins,,,,,
Wharton County Junior College,Bode Allan,FR,,R,RHP,
Wharton County Junior College,Carson Bratcher,FR,,R,RHP,
Wharton County Junior College,Carson Sydnor,FR,,L,LHP,
Wharton County Junior College,Connor Priddy,SO,,R,RHP,
Wharton County Junior College,Drew McRae,FR,,R,RHP,
Wharton County Junior College,Erich Daigle,FR,,R,RHP,
Wharton County Junior College,Grant Burns,FR,,R,RHP,
Wharton County Junior College,Harrison Wall,SO,,R,RHP,
Wharton County Junior College,Jaxon Lanclos,FR,,R,IF/RHP,Infield
Wharton County Junior College,Mason Kinchen,FR,,L,LHP,
Wharton County Junior College,Morgan Garrett,FR,,R,RHP,
Wharton County Junior College,Ryan Gonzales,FR,,L,LHP,
Wharton County Junior College,Teddy Herce,FR,,R,RHP,
Wharton County Junior College,Trevor Ainsworth,SO,,R,RHP,
Wharton County Junior College,Zack Mann,FR,,R,RHP,
Wharton County Junior College,Zakory Garcia,FR,,R,RHP,
